Gene,SHAP_Importance
COL1A1,0.09752843538299202
SPARC,0.08363719319575466
CD74,0.05980803670536261
CPB1,0.05854222354944796
KRT19,0.05253991572826635
EEF2,0.049146089298301374
BMS1P20,0.04611541911610402
CD24,0.041580066905589776
GLUL,0.03921406036708504
POSTN,0.037590622482239266
HLA-DRA,0.035669946874413654
ADAM6,0.03487223294372711
COL3A1,0.033604328812798484
SCGB2A2,0.03267368086409988
CLU,0.03249226328975055
RPS4X,0.032324185780598785
SCGB1D2,0.028834572578780353
ACTB,0.02517808948061429
EEF1A1,0.024171388604008824
ALDOA,0.023959322775626787
FN1,0.021135191787034272
RPL4,0.020956532663549295
RPL19,0.020898609935247805
SERPINA3,0.020781027078046462
KRT8,0.020675627120363062
A2M,0.020646869256161153
IGFBP4,0.020310482885688545
AGR2,0.01946127007217001
GNAS,0.019212659248150885
B2M,0.018687588986940683
APOD,0.01792605801449099
HSPA1A,0.01755895768874325
COX6C,0.01736041981203016
COL1A2,0.017270849217748036
RPLP0,0.01723748220843845
CA12,0.017073471590992994
VIM,0.016894039147882723
NPY1R,0.016796172874746843
HLA-B,0.016762742609334965
AEBP1,0.016268010748608504
EEF1G,0.016066207838011905
CRABP2,0.016065455291827676
RPL8,0.01601712495146785
RPL7A,0.01599937597697135
LUM,0.015866457937227095
FASN,0.015409071217291057
MGP,0.01538431390785263
C4orf7,0.015155496732331812
MAGED2,0.014539534009381896
IGFBP5,0.014472299320041203
RPL3,0.014326406184045482
RPL30,0.014173168460802117
RPS8,0.014025973514362704
CXCL14,0.013688146227941615
THBS1,0.013622408232404268
TPT1,0.013431658665940632
RPS5,0.013242529902781826
COL6A3,0.012857592673244654
RPS20,0.012831696798093617
IGF2,0.012831549396796618
MMP11,0.012246468217126676
GJA1,0.01190514162488398
RPS24,0.011885805599449668
SLC7A2,0.011811495479778387
DSP,0.011628034815221327
SLC39A6,0.01157446889919811
C3,0.01135769927612273
RPL23,0.011231316557409627
RPL41,0.011139724978438608
COL11A1,0.011130778559736427
BCAM,0.011035800962272333
SERPINA1,0.010692114789562765
TAGLN,0.010516156028752449
C4A,0.01039630244111322
ERBB2,0.010352719405491371
CTSB,0.010222571900485491
FLNA,0.010129256171949238
RPL15,0.010065326950571035
ITGB1,0.009992862975414027
APP,0.009967839097662363
RPS15A,0.009909209251636639
RPL10,0.009779179006218329
HSPB1,0.00967951817176072
RPL27A,0.009571809269509686
CEACAM6,0.009508455090181087
PDIA3,0.009458795576865669
PBX1,0.009361627533216961
NACA,0.00934240273436444
MUC1,0.00931027585727861
HSPA5,0.009177488450441161
XBP1,0.009114437950629509
CFB,0.008958083496254403
RPL11,0.008863023121703008
COL5A2,0.008774219588085544
YBX1,0.00873705777048599
CTSD,0.00864024402710129
PIP,0.008564809947274625
HSP90B1,0.008542688089364673
CD164,0.008487784621611354
RPS18,0.008486930637154728
SDC1,0.00842129642776854
KRT5,0.00840189505193848
COL6A1,0.008387994344075196
TMSB10,0.008384125009979471
RPS21,0.008378787323672442
STAT1,0.0083360851127145
COL10A1,0.008326170564178028
TRPS1,0.008307566395487812
AZGP1,0.008168777868640974
TFF3,0.008148422047015628
LY6E,0.008024970790575025
LDHB,0.008013933472975623
TMBIM6,0.00784438068541931
STC2,0.007795101293158951
RPL18,0.007645561269309837
NPNT,0.007609170234500198
ATP1A1,0.007546026984637137
RPL13,0.007537464575143531
HSPA8,0.007442059645109111
NME2,0.007411981969562475
HLA-A,0.007380838621197654
BTF3,0.0073303848090472455
TNC,0.007181278073985596
SPARCL1,0.0070605093457561455
P4HB,0.007034905976056507
COL12A1,0.006914043612996465
AHNAK,0.006913420055370807
PABPC1,0.006886669400846586
FAM198B,0.006880562935039052
RPS3,0.006829153326470987
GNB2L1,0.006817150019924156
TMSL3,0.0067539191820651465
SLC40A1,0.0066762086233939045
HLA-C,0.006632840063393815
FBLN1,0.006614001450652722
